"","f1sim","f2sim","f3sim","f4sim","f5sim","f6sim","f7sim","f8sim","f9sim","cp10sim","f11sim","cp12sim","cp13sim","f14sim","f15sim","ar1sim","ar2sim","ar3sim","ar4sim","ar5sim","ar6sim","ph1sim","ph2sim","ph3sim","ph4sim","ph5sim","ph6sim","ph7sim","ph8sim","cp1sim","cp2sim","cp3sim","f4sim.1","cp5sim","f6sim.1","cp7sim","f8sim.1","f9sim.1","f10sim","cp1sim.1","cp2sim.1","cp3sim.1","cp4sim","cp5sim.1","cp6sim","cp7sim.1","cp8sim","p1sim","p2sim","p3sim","p4sim","p5sim","p6sim","p7sim","p8sim","ind9sim","ind10sim","cut01sim","cut12sim","cut03sim","cut14sim","cut05sim","cut16sim","al1sim","short2sim","f3sim.1","cp4sim.1","ar5sim.1","ter6sim","p7sim.1","f8sim.2","unk9sim","al10sim","al11sim","al12sim","cp13sim.1","cp14sim","al15sim","ar16sim","cp17sim","ar18sim","cp19sim","cp20sim","o21sim","al22sim","unk23sim","unk24sim","unk25sim","al26sim","o27sim","bf28sim","unk29sim","g1sim","g2sim","g3sim","g4sim","g5sim","g6sim","sy7sim","g8sim","sy9sim","sy10sim","ph11sim","sy12sim","sy13sim","g14sim","g15sim","g16sim","sy17sim","g18sim","g19sim","sy20sim","sy21sim","ph22sim","sy23sim","g24sim","sy25sim","sy26sim","g27sim","g28sim","sy29sim","sy30sim","cp1sim.2","short2sim.1","short3sim","short4sim","short5sim","short6sim","short7sim","short8sim","short9sim","short10sim","short11sim","fa1sim","fa2sim","fa3sim"
"KL-2-A","13698563","16222379","2868303","4838840","10557587","1811331","17796660","8926530","120723952","9163009","17261673","1645674","11985028","4596742","17788135","34189731","3378414","2166310","8511990","5597170","2516782","251470981","212974843","9134865","31261400","2648608","106154382","7011961","17222052","1615113","122527634","100404182","84299125","3012132","753764","17945462","11657985","6754574","15124391","24355287","5611276","8435247","6279389","11495018","67452774","1722621","24006502","5629165","8090628","2003187","1319040","17281711","6739929","8200405","23428811","10843179","7457661","4091320","5817628","51487962","9696088","439727","1860257","621431","1595217","1487909","498772","2358548","3139438","1420026","3758980","1039005","84082","990815","364341","7195174","1970156","983558","1985042","474572","2197803","8327342","28337835","2486821","6678417","3286366","3063020","8607769","4568320","8388112","300758657","1940586","82105795","47912729","17756972","7785197","144412070","5807095","59577698","44146531","32355485","13946988","3975802","9095637","81820894","13786737","7381681","660184","6635264","13814042","20796151","55223805","9201003","18054083","561098","11155416","10015862","22182944","10968707","6559843","1024151","3466332","51146155","35255042","12677219","188095143","12913998","46746538","1613258","16254170","2312528","835710","2964599","228832","3210940","244460"
"KL-2-B","8135878","9203849","1745038","2657909","6012451","1055505","11902110","6394450","75559247","5436710","9696114","979270","6718723","2851751","10261130","21717310","2168607","1398609","5290402","3936427","1690141","158518346","128061240","5862549","16462886","1490177","73049049","3663963","9385051","872165","76304380","69179820","54116734","1642650","438595","9758647","6078375","4535000","17932303","15859864","3428429","5091720","3574085","7426980","45602138","1100833","14410625","2865614","4782843","1139067","728369","9003181","3837343","5266270","12077801","6044162","4139550","1854244","2781684","22128101","4862400","454591","1537258","1376318","1511555","843401","312347","1573931","3034467","796175","2581094","582422","1119587","1022610","1213263","4376526","1268071","556927","1385252","215878","1485125","4841620","16718813","1458606","3709345","1844919","1789468","4734127","2462155","5380806","166041617","1154056","51199068","29664067","9368174","5052301","89934560","3629619","31974286","26373111","17611208","6500097","2291549","5149878","46315965","8028892","6164381","359829","3708603","8237240","11534434","29602587","5562018","9497037","274692","6414144","6285940","13477630","7975371","6242237","956815","4313636","32239251","20786258","8979170","107625297","8622204","28726014","841891","11876250","1358033","441603","1906290","109219","1686297","237469"
"KL-2-C","14170907","16378481","3024950","5129135","10031885","1920941","18020278","9953437","123416143","9480192","16576687","1806678","12093841","4887207","17044936","37110886","3850256","2532478","8857595","6761769","2672663","253676914","216935455","10039260","31532222","2709915","99266161","6519570","17142430","1528802","131358656","106786894","81622700","3217404","737807","17416334","10332304","7800365","28526764","27710588","6594912","9295175","7006858","11559308","75560093","1841563","26294134","6005268","7975886","1987510","1258036","16803398","6762250","8380744","23482210","9496400","6781117","3165407","4718403","38828461","7887388","725946","2367045","1394741","2154878","1544685","584162","2858934","4165037","1463037","3950771","955006","933798","1386252","1250412","8449995","2156994","989480","2528484","475101","2516975","8605707","21108052","2348282","6104818","2887361","2924167","8195667","3699578","9010258","257348633","1985878","92035042","55164236","19730534","8950024","152548169","6720242","58907418","48143644","32670158","13424184","3941541","9142176","81484637","13881705","7349006","645510","6833758","14409879","20688710","53879314","9620801","16004470","533410","11781545","10923425","23751097","12934926","8346156","1494395","6254094","52099882","37516232","14069397","183168415","14536609","49467505","1751204","18840254","2420168","785711","3321151","195901","2879981","322841"
"KL-2-D","10690049","12638653","2300348","3651573","7652395","1452497","13736082","7690876","89725534","7351113","13032992","1292996","8035823","3562111","11372519","28236031","2744374","1803640","6791204","4404473","2090168","202647545","162484022","6969625","25930604","1874647","74333268","4862008","12308051","1104058","97739490","72875274","54160969","2341993","544567","11684375","7266789","5226865","21284994","20254155","4753719","6707958","5069897","8440041","53438834","1262587","18604806","4019479","6341378","1558825","984906","12331801","5364970","6939636","13423377","7814825","5301116","2712290","3882846","34493973","6792809","752091","2080760","409339","1351361","1132337","434410","1915027","2656058","1087394","2786200","810368","111010","872703","297502","6230410","1552838","726952","1598721","352044","1724088","6344627","15686282","1826730","4514305","2112705","2087097","5246164","3490499","5586544","209693475","1221595","60582596","32244314","13151705","5281826","95912996","3887811","41840655","27344328","21274011","10245041","2757136","6180275","55133170","8965085","5803982","422551","4755349","8915137","13381800","36291915","6640645","11095258","331568","7189168","7203960","17190963","8656825","8093913","1266824","5151641","41374688","29493871","10559206","143066630","11148061","37783610","1223911","13220027","1875173","738867","1892082","144272","2368108","172272"
"KL-3-A","23581417","26437912","5223274","8405103","18646978","3073901","27794795","15634039","191376661","15775328","26829474","2943507","17452908","8127114","22240795","57111256","6018852","3858104","13127385","9858777","4418952","375357356","318619224","15127034","56602801","4123713","117081802","10551785","24694833","2262051","218493735","142749785","101939641","5296159","1065908","23626822","14539677","10754782","48738450","44864581","11077397","15532412","12201204","17453378","108334037","2237497","43612670","11391086","13685496","3301940","2143298","27283529","10124576","11977666","32920109","13459917","9939314","6593898","7645651","76591351","13500942","2265999","1286864","1290432","2837109","2437236","967754","4332616","5169051","2394831","5737002","1453181","320170","1592173","633661","14841802","3235693","1312946","3591185","884659","3819185","12741069","32243113","3249131","7895380","3914422","3735807","12684397","5130870","11727723","366299787","2885687","144376447","87933613","35780007","14368185","227704227","10735472","85279376","77048411","47891316","23304395","5755682","14005655","118392126","21679661","7255375","1086978","10850668","22696393","32608600","80901738","15288986","23771232","820350","18940286","17669374","36358694","20307031","12221220","2691974","10387144","88254016","66105253","20689058","292315536","22835523","81869288","2936373","28261089","4637237","1365460","3909141","331607","3948842","496534"
"KL-3-B","7409564","7914616","1655864","2192097","5736333","938393","10893428","5677993","63573684","4747103","8176771","847226","5299018","2545067","7677248","19652961","2104851","1327914","4705664","3449596","1565701","139978557","111613599","5455540","15349720","1340267","55836471","3192011","8079814","838577","67634641","56324868","45606145","1430911","376185","7775674","4942050","3673978","15912604","13995748","3112596","4556266","3279869","6393090","38754964","881071","12620398","2889121","4729630","1072194","701002","8416657","3654929","4911474","9837889","5366321","3707951","1540480","2478095","20283319","4605763","393945","1511054","861017","1123889","717189","267115","1499786","2391722","731184","2181029","424017","613139","859946","730491","3849610","1134483","411326","1261839","204509","1373458","4089687","13229409","1207428","2588196","1299523","1255531","4139064","1548784","4288466","140177781","1015569","46538987","26469061","8904174","4434887","78492671","3338761","27642906","23418798","14782860","5688897","1913491","4419882","39383056","7141891","5143073","365662","3249734","7466996","9672399","24969318","5087463","8414707","241064","5823201","5826623","11734190","7451119","6278754","890434","4263527","30161542","19450314","7939773","94517884","7898343","25621479","735737","10653777","1226104","397508","1473972","102670","1483957","205570"
"KL-3-C","6532704","7079758","1312849","1962971","5193075","803567","8828636","4826075","55727475","4117216","7252645","708798","4637608","2154941","6498650","15909797","1575769","1033289","3977927","2606577","1295551","120158622","94034491","4353108","13355398","1046627","45995577","2568658","6592647","646635","56801263","46912358","38174047","1236247","332964","6671076","4200040","3090427","12423435","11950501","2602245","3789853","2700873","5438336","33576144","824658","10867062","2425768","3812846","850589","554167","6949993","3081701","4105820","9222184","4701529","3127768","1543633","1948294","20998817","3961025","396964","1120112","197902","762839","584798","227384","1102979","1650937","596596","1734974","401902","69554","521619","193639","3503913","946968","369663","960870","209189","1032269","3500719","12311647","1043013","2168225","1089565","1020837","3368742","1653630","3650415","123169022","785897","37825249","21029111","7691890","3532308","62437016","2690348","24168793","19041366","12499131","5141759","1581172","3685621","31986466","5471602","4314369","269945","2626275","5681278","7839613","20808962","3821880","6465496","189161","4618897","4445996","9275315","5660398","4972538","707545","3025193","25091184","16740914","6696852","82135653","7053698","22421792","634566","8829384","1055997","297701","1247165","108641","1344155","196572"
"KL-3-D","5516560","5958450","1101757","1564806","4457215","713449","8033114","3926910","48027751","3500854","6383043","620952","4126577","1922719","6245470","13629441","1339803","842449","3409331","2326435","1123710","105847002","83221701","3615914","11220454","932019","52343736","2542333","6667942","562955","47370917","41402198","32272958","1036706","272830","6101665","4029730","2540100","9557179","10253281","2144696","3126699","2235906","4641348","25689414","683560","8360541","2000307","3325159","743074","514969","5705174","2640270","3750137","6735250","4488481","2961788","1606606","1900072","15860529","3061369","288762","664595","418137","683908","546257","190383","928870","1684498","515923","1523979","335480","303568","574605","397455","2800616","786329","310314","790577","156121","968406","2532893","8919063","987687","2241711","1123244","1026978","3108746","1123769","2984801","114314468","703153","32147751","18232139","6285084","3280070","58649189","2396761","21518134","17606188","11439651","4440275","1528903","3481076","31139456","5349096","4557137","317284","2521343","5673205","7832496","20296225","3518834","6912373","193406","4141982","4272864","8865160","5502608","3864584","626090","2690097","22507978","14012591","5848991","72991386","5720175","19191219","532449","7413598","894486","296420","666354","58916","654397","44335"
"KL-3-E","13772293","15087255","3175473","4619312","10507151","1749780","18233340","9342029","117872987","9104211","15990885","1720534","10580017","4850626","14230934","33858261","3573036","2232479","8079099","6089054","2776108","226939621","191649304","8957643","29146974","2465320","88635239","6064668","14793082","1455830","123019335","93211680","70297709","3036056","701388","14429849","9225360","6411540","27367963","26563112","6141494","8626246","6534735","10785999","66057097","1437449","23997486","6171830","8230440","1930012","1267332","15958385","6590658","8100478","20230948","9331010","6458135","3047197","4393495","36581098","8460104","725990","2687143","2086856","2251762","1400297","558075","2577099","4375025","1422610","3490256","818625","1606406","1419353","1870648","7704423","2023347","770647","2222336","456401","2425207","7542834","19015971","2180198","5219673","2673281","2439996","7639345","2786046","6916094","236844232","1805135","84491508","49163684","18361111","8416543","143613776","6463932","51808017","45343275","28389748","12525606","3550211","8737828","74572535","12865644","7083693","736660","6396234","13564290","18784393","49987925","8751648","14823447","469757","10385434","10342585","20982881","11732532","7646211","1609783","6172473","52925299","36135298","13370523","170725611","14147866","47150583","1598016","17936395","2345353","811801","2168699","137691","1955334","176745"
"KL-4-A","12684106","13068384","3024840","4058623","10465445","1634068","18832143","9124703","109734611","8290618","14106812","1405244","9230408","4334784","16325470","35022292","3567959","2214124","7322103","5964592","2508260","221570745","187421360","9896296","27085034","2551593","81297005","6115272","15595348","1251950","109525615","92968561","78383276","2774695","694852","14259898","9562181","6768274","20318002","23560196","5628817","8050638","5812319","10705558","62724079","1632267","21977663","5443291","7316984","1818265","1235554","15457624","6027985","7779830","21320307","9490675","7024817","2471399","4558804","25184895","8842525","298863","2594711","2659268","2310254","1277636","464965","2681313","4251851","1339331","3948995","634395","2278254","1535335","2304878","6570096","1890566","753690","2330059","383672","2400101","7176722","20070606","2244610","4519374","2476720","2309316","8869688","1456747","8922428","242156344","2115763","80944710","49793853","16331030","8844430","144964567","6542568","49459183","47936375","28343940","10411466","3589573","8216436","71676782","14882477","7171559","602499","6001062","16072429","19649715","46640523","10178395","16528356","518988","10900525","11037136","20300651","13473614","7632639","1104816","5508015","50028865","31688644","12869292","152713836","12083616","42967016","1433504","17631728","2228319","533010","3041804","131833","1756401","212117"
"KL-4-B","7496377","7973461","1637926","2341139","5801246","984814","12120655","5794673","69617658","5205575","9041723","835756","5221968","2514685","9390579","20838087","2063770","1349117","4873754","3545231","1644524","143850231","116443554","5929879","17348711","1321073","51230557","3366201","8775418","730108","67971042","58017078","49302782","1524416","427068","8139279","5418779","3774165","14233567","14456045","3301598","4799185","3488703","6533787","37732641","1041321","12474472","2890283","4409589","1072193","710826","8417252","3699431","5073138","12488944","5666427","3989522","1506365","2326627","16055702","4082776","297660","1212046","460668","904973","736485","272995","1535268","2693087","765420","2274692","383993","223743","632407","257904","4049402","1139524","435063","1331009","228886","1334918","4150206","11081858","1296842","2910087","1487404","1474085","5078958","974422","5086497","155481630","1158899","46297275","27262338","9479300","4751594","77534828","3504293","29478638","25000302","15972189","6204874","2022690","4568184","40316397","8105358","5179913","338489","3382410","8475097","10648379","26276148","5549459","9080738","307334","5925231","6054427","11763960","7647295","5663025","611344","3846336","31056562","19790900","8190678","96801503","8165159","26137131","768266","11069813","1303498","288718","1763122","77043","1114760","89385"
"KL-4-C","9935586","10105622","2145606","2925726","7628607","1262892","15369405","7382783","87714500","6448184","11574899","1078423","7047399","3420413","12508909","25380989","2584302","1685012","5998609","4465068","2041673","177550219","147442930","7042353","21202809","1780415","75986915","4626944","12101291","1069334","86523878","71753095","63634985","1896308","513709","10298136","7092154","5494036","19493009","18587569","4151448","5954660","4195244","8632493","48632424","1278911","16219120","3777023","5795167","1362727","937923","11020358","4612648","6294451","14979659","7199319","4979215","2035895","3573512","21998844","6310497","316562","1993293","1499896","1577882","976716","332694","1852227","4125917","976882","2939618","520815","1165573","1092204","1163691","5134237","1473750","576112","1676179","290729","1857114","5539880","11890727","1760436","3765703","1924133","1844263","6243347","1299633","6430996","197335203","1409384","56960495","34195548","11381693","6105940","103469026","4493636","35798663","32194901","20088083","7598616","2618007","6085150","53705941","10254676","6063218","416592","4463382","11012968","13467124","35210450","7555503","13315484","373675","7592168","8402957","15840769","10083194","6543292","876904","5183592","39790339","24514264","10275396","123014905","10305731","33281154","972204","13925100","1630703","479021","2211325","102356","1410083","164672"
"KL-4-D","10521119","11061414","2364124","3251281","8529714","1353602","15240773","7590623","90172374","6962410","12116099","1165288","7058748","3555883","12327776","27875897","2825773","1741272","6212049","4483499","2095867","183184946","150305103","7771352","22403084","1763931","61515553","4409569","11486446","981955","90610648","72900370","62563069","2116712","546483","10496639","6898491","5344700","18830998","19774650","4480402","6587028","4654465","8675591","50995686","1283456","17290162","4379959","6227070","1476850","1007393","12691352","5097399","6747862","17794975","7680260","5422941","1997613","3261141","21068669","6141481","477060","1699514","737781","1312430","1029295","373327","2018426","3471413","1105407","2919501","498532","402223","870524","506559","5165262","1512753","595761","1704830","324284","1771948","5843999","16390250","1710990","3572560","1926404","1843810","6532656","1250031","6857100","191258304","1573234","64483720","38995888","13414821","6782463","110256567","4940473","38238883","35524541","21147127","8226661","2711807","6209145","53698195","10765887","5737980","455912","4549314","11876353","14379726","35105644","7690590","12138934","396342","8096971","8575349","15390774","10244979","6756389","921248","5119156","40888990","26512244","10531464","127328354","10882564","34305818","1108081","14563400","1705893","410193","2182419","101888","1438094","152870"
"KL-4-E","14705339","15371327","3451758","4818242","11560277","1952910","21152934","10486659","124849469","9991170","17062471","1690837","10101347","5069222","16566400","40563707","4153808","2752079","9341628","7168416","3008979","270561690","226689291","11165802","36937999","2985766","81674553","7187941","18065380","1560376","130636174","98845805","78756924","3248234","772530","15354901","10196304","7017460","25949076","28794319","6876103","9801624","7390705","12084192","70968125","1700787","26205711","6609403","8864095","2223910","1475777","18089752","7397132","9294825","23332074","10685109","7813422","2791984","4762558","28154316","8537890","470885","2682100","943207","1754264","1464628","588792","2999025","5784975","1636533","4056689","727242","298603","1080188","429561","8177079","2151680","869706","2514883","492119","2897526","8250603","22592226","2373663","5115363","2759305","2620173","9644423","1752499","8852206","277587061","2292209","95403934","56974190","20742651","9787231","156960413","7362267","56904175","52709330","31223398","13178016","4094842","9189149","79555579","16054866","6401476","721630","6996599","17166009","21778362","52552876","10906600","18893052","567162","12226731","11843233","23378773","14700113","8962692","1300699","6834012","59237776","39474830","13970487","177056316","14809289","49331449","1733549","19336343","2610319","572212","2902580","135132","1774173","204129"
"OS-0-A","24308421","24309881","4356624","7956821","13880537","3144442","32250247","14449179","220429182","11254691","31424551","1763907","11484660","6478464","48955399","38851275","4175791","2527543","10048022","4369995","3445433","158725063","165484909","11078077","29493447","2309609","59255602","3968669","15442066","1838020","123208146","124210703","177562458","3807622","1120663","12419619","13931586","14768912","72279671","32144361","6745614","9786694","6909492","16211454","79298102","2150054","30551255","6986698","9981384","2356235","1522949","17244901","7251076","7522763","49432027","6930858","5280228","2869693","5556121","21395736","6348088","487653","1972525","4816857","3889414","2361640","613455","3208920","6420188","1792100","6513063","962964","4193506","2404037","4353066","7385461","2412802","1120683","2844942","487810","1968783","11215240","25041591","2211361","7932886","4626196","4620016","12531270","1797114","13333662","266964301","2811724","92197723","82539605","23142455","11974162","184452549","8072046","53066799","60587079","45641145","13222245","3203331","11285394","85942646","21208535","10989734","902152","7629576","19481748","22674761","59076833","13779268","16527725","830000","14840175","12496126","27446666","15887561","4377825","1723085","8342045","62530195","40593264","20181029","213032708","19679285","54124515","2409285","29924417","2807978","837320","5728701","299922","4024598","471330"
"OS-0-B","22535760","22491062","4044708","7244673","13114514","2941186","29805743","13657103","208667195","10299344","29703975","1586632","10388365","6019490","45615454","34450395","3635965","2377120","9511330","3871780","3161874","155072233","155022001","9966859","26953833","2222599","65049726","3763068","14789198","1696495","118086383","114841726","171687513","3608956","1056307","11499029","13076365","14304077","67316031","28710096","6002186","8837950","6099803","15203185","73592078","1985375","26288426","6125365","8818886","2054426","1338032","15148719","6271368","6719873","43849794","6365736","4934276","3476669","5100458","27919110","6312911","619751","1482818","2939946","3009850","2146185","545643","2974164","6925042","1536944","5816151","901992","2393578","1729677","2441523","6793847","2188895","925886","2565409","450644","1826239","10421945","22955694","2041955","8382878","4892857","4998621","11644406","1861849","12813733","259724170","2586179","83239574","74835053","20147155","11064178","173477712","7378632","49416477","55658880","42012181","11901427","2989976","10395515","80704804","19970450","11594402","880458","6849738","18026624","21359554","54272000","13251448","16076564","802583","13586696","11824213","25323177","15245375","4234112","1519890","7857655","57150123","37234468","18640971","198458936","18281837","50154571","2103388","27489067","2531535","907551","5543939","308423","3691165","444098"
"OS-0-C","28992746","29322310","5387283","9841780","15629466","3808480","38470727","17217031","258790120","13505206","38980119","2143155","13809550","7911801","56140658","46377433","4891054","3060545","12490922","5591191","4097510","191933385","204120092","12722070","37969766","2821353","66671808","5151230","18805455","2276043","149832472","147513197","209565385","4738070","1359354","14992582","17247066","19402795","97810114","38381814","8214003","12040375","8657597","19510280","96046914","2464291","37261676","9229477","12396437","3002070","1946472","21287893","8635681","8797294","62042329","7934636","6389177","2944586","7108208","17805496","7159086","504309","3902513","6162613","5129808","2896274","768022","4005452","8151985","2249020","7770942","1231402","5326413","2976206","5627371","9116266","2895611","1373590","3352884","654780","2649093","14342641","33153833","2591827","8704239","5192427","5033688","15660893","2469366","16300622","345234604","3536657","113732101","104531428","29174231","14946125","231509911","10034354","69146813","74369039","59033409","17878412","3962913","14709621","111631577","25635003","11397720","1129144","10059808","24809151","28847132","79091955","17827169","20719066","1110510","18755207","18779016","36431717","18947287","5266190","2387053","10968875","76019058","49623018","24565600","257033279","23888715","66171248","3083098","35648928","3479338","1164516","6925972","373225","4739001","537871"
"OS-0-D","10615471","9959542","1857410","2979453","5957100","1331959","16036771","6939269","100014614","4680327","12980298","729436","4697590","2731321","21777182","17308730","1718818","1200086","4604758","1916131","1553323","74647481","74707573","4981546","10854390","820300","35776059","1659817","7282516","751335","51227865","58170204","92854705","1407192","507445","4984836","6151347","7463270","39084023","13363152","2541723","3914337","2450329","7454169","34407455","1071335","11365132","2460397","4239659","945695","624528","6600994","3086099","3543067","18786349","3287592","2496822","1334667","2317758","9532956","2866375","209421","969069","2185702","1748675","911389","223945","1425139","2967193","681077","3259972","425754","1930175","1163284","1927454","2647636","1039341","432227","1261598","174674","868080","4631241","10223647","984961","3260671","2026658","1993978","5075623","913007","5646749","133991195","1230445","38068152","33854214","7892719","5090474","80768340","3287585","21672259","24796895","18542708","4384153","1288727","4683965","36516863","9048911","7274521","363286","2976098","8415278","9247231","23928833","5982240","7533751","327871","6541301","5628871","11803911","8176164","2730378","731030","4542013","28768575","16621037","9993005","93740173","9365002","23628185","696855","14092094","1131033","386755","2825187","135403","1650276","217221"
"OS-2-A","14458865","13769840","2672889","4139235","9430509","1786501","22503220","10176091","139710130","6636198","18664011","1101913","6147745","4428225","25450835","22764362","2357244","1645931","6747994","2845987","2110803","110642283","107801057","7176985","18674062","1325308","58814206","2779016","9716679","1114563","88991400","78952097","111948653","2571190","766844","7715547","8109050","9433382","48743263","21457876","4440208","6233139","4239988","9957432","50660070","1391163","18705461","3694517","5967064","1182047","772694","8446206","3709661","4938442","14763593","4554007","3450897","1401601","3106342","16517692","3762147","365598","1724857","722658","1552840","1281351","360662","1925696","5642603","872499","3936779","414400","351901","829121","413021","5305623","1568497","397303","1652190","308030","1270180","5951321","12618108","1307314","3005296","2023392","1761498","7912670","1106608","6855783","174360564","1879395","62628964","55210537","15313945","8508300","122776328","5649536","34837069","40533212","28886204","8686090","2179039","7546576","56069193","13622581","12247513","561895","5137219","13313785","14921238","39451138","9368976","9191694","481045","10455920","9271991","18736978","13689785","5570617","1326196","7448865","40611656","26400738","12829573","129953464","13331921","36169658","1352591","20554307","1904506","482169","2851048","113882","1811448","231655"
"OS-2-B","35024096","35717981","6481377","11620972","22166263","4525417","44199061","20657293","308272929","15827124","47243805","2628435","14673737","10145744","58738998","57702151","5997904","3955018","16092654","6581075","4793908","259456458","271315947","15888190","57114105","3818636","119772127","7315737","24191853","2642051","195390296","154674203","220892011","5746667","1586053","16402734","19724186","19565553","109905741","48484681","10889565","15228891","11082043","20747050","109469591","2656350","45874627","11096270","13788990","3219062","2024428","22085885","8968665","10155382","40739902","10821302","8129229","3869885","9268779","47067782","9450332","1005051","3450471","2891004","3956343","3341100","953285","4930788","8448536","2352386","8046295","1269918","1930174","2068233","2247250","12490616","3359839","1256606","3858369","926922","3158201","15798457","35074639","2785720","7256183","4893674","4135140","18388199","2808023","15445109","417524195","3940716","133213633","119433416","40302420","17377936","261486462","11860383","78723057","86074590","69534806","25600091","5310521","17805558","131520444","28323342","16494273","1307744","12552557","27482968","34384186","93277446","19541989","24201410","1125074","22755533","20008078","44530698","23297861","5723842","2877668","12294308","89908827","65521978","25321974","296486178","28465323","81035573","4002659","40759015","4583696","1374262","6255802","334914","4387344","557167"
"OS-2-c","12872001","12028664","2469153","3412091","7741635","1549380","20958623","8860796","123998841","5735452","16955842","959975","5990921","3826747","23912813","21138316","2130550","1546082","6422333","2606366","1952651","97842710","95247876","6099738","15127809","1254415","60760155","2285629","8532086","1197899","74028009","72806816","106650487","2078272","686727","6886375","7789937","7535856","37193270","18088356","3566658","5253789","3455527","9238859","43960107","1268860","16158429","3206772","5065963","1057296","699665","7534293","3272000","4474089","12377074","4148816","3146093","1413864","3274358","14389676","3254934","136959","1291475","2813672","2212613","1131185","290141","1807366","5417666","751803","3840681","401757","2437636","1396760","2470545","4068769","1364668","521922","1582120","251886","1245909","5695240","12260236","1192086","3111634","2034217","1802594","6963638","992445","6353443","171825765","1542550","49836227","43227464","11438347","6922470","110396368","4557032","29395059","33921319","24105930","6900176","1851318","6823937","53395722","11627037","11296558","486840","4454020","10901876","12496125","35517080","7455477","8962344","402503","8257157","6915272","15120216","10073598","3614542","963504","5050370","34788424","22055292","11040501","117229321","10959390","31534929","1078335","17804846","1557850","465309","2815239","130534","1455086","208961"
"OS-2-D","14225706","13921920","2540712","4138956","9103256","1837704","21477830","9572594","127939625","6592321","19055978","1020188","5653859","4258413","23850558","23466279","2314615","1578429","6982814","2616883","2171465","113356702","106911739","6728847","19491924","1335643","59288624","2707583","10084517","1226087","79487282","72793550","95624196","2405412","714510","6569017","7915839","8514519","45681885","20051826","4296290","5981181","4111776","9444821","47737300","1263832","17956034","3837948","5676522","1238716","801091","9052769","4111619","5316799","14405759","4932027","3644046","2052843","3913983","24182228","4324839","450945","1455764","526220","1371224","1291175","360420","1896933","4563058","869101","3642560","509686","98644","776820","224355","4836797","1509462","484834","1624325","330416","1319408","6274387","25557582","1239425","3136508","2057880","1878787","7372906","1599145","6270774","192421202","1645254","53115435","44701142","13260225","6834142","109070256","4645666","31233458","33054250","24666983","8057480","2028167","6810884","51052892","11161591","10124509","474368","4663523","10888979","12707669","35060736","8083173","9753291","448059","8919927","7808242","17308320","10927384","4610407","1151772","6084264","38938496","26337626","11670070","127945080","12793733","34792332","1318070","17693649","1798777","643850","2352537","167908","2012664","337185"
"OS-2-E","10108269","9317587","1963157","2570946","6034744","1196163","16497273","7173754","97281134","4438901","12926278","722629","4497091","2934242","19427534","15211907","1575789","1111145","4653787","1789162","1478007","67078327","63914209","4433247","10582041","798873","44007664","1652108","6564642","833266","56729967","54799958","81496903","1638405","576918","5075778","5923048","6836397","35841110","14004110","2655044","4007767","2457189","6738931","35711128","960358","13481561","2436210","3816032","754438","498198","5856303","2517643","3539347","9784058","3108948","2339109","1012772","2238072","8815649","3089554","160145","1155467","4711747","2872789","853023","240448","1329383","4659915","564803","3023546","289285","4492912","1871637","4525969","3269716","1069288","424883","1200768","214095","876035","4166341","10022330","1025458","2066841","1620754","1246683","5004726","675143","4689491","125379890","1124062","38404713","32119964","8824222","5339536","86691846","3564769","21508672","25931529","17463996","5130648","1347990","4987724","40401617","8705337","9087402","338856","3286582","8351585","9323192","25930912","6089965","6685088","287109","6603289","5855462","12185130","9048989","3367547","942988","4767601","27400006","16592727","8882191","87047577","8545162","24276582","754240","13301644","1214163","290536","2058177","106276","1268723","201712"
"OS-3-A","13180042","12690225","2502417","3761860","7764656","1693106","19769533","7971620","117040051","6251382","17373817","952505","5312194","4026060","22505366","22861614","2246440","1457566","6365317","2649536","1997746","115490014","109303506","6990600","19281865","1466831","57046998","2943464","10042522","1091015","77047074","68577489","85780273","2415122","745891","7279317","8726982","7382856","27644162","18900120","4061155","5926308","4137726","8726793","41738991","1218817","17288710","4106705","5283873","1209382","790761","8769324","4133417","5379267","9937129","5271316","3870181","2069443","4255711","25084403","4338281","161412","966443","493473","1131203","1199255","332858","1804054","3356731","854458","3432776","449027","30673","682554","169764","4376726","1417428","461011","1463937","326865","1374198","5224363","16327180","1302742","2545881","1923638","1646068","8202547","1236529","5341513","192283830","1889034","55363321","46464050","13690735","7125896","109842430","4851384","36937659","36072015","30578477","9969200","2293022","7795464","57877585","12288107","10999352","603797","5309342","12308104","14098966","41507980","8873810","9529857","502424","9283219","8945366","17381786","10432364","4431735","1041926","4871394","36899189","25104851","10624009","122659822","11033899","32919388","1303478","15826406","1696132","450856","1800296","75931","856357","54547"
